RecipeID,Category,Subcategory1,Subcategory2,Name,Ingredients,Methods,Instructions,Sensory Storytelling
COU-001,Concoctions,Courgettes On Holiday,Odyssey,Charcoal-Grilled Courgette Carpaccio with Black Truffle Pearls and Saffron Fermented Honey,"[{""ingredient"": ""Yellow and Green Romanesco courgettes"", ""amount"": ""2""}, {""ingredient"": ""Black truffle pearls"", ""amount"": ""30g""}, {""ingredient"": ""Saffron-infused fermented honey"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Extra virgin olive oil from Mount Etna"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Himalayan pink salt"", ""amount"": ""1 tsp""}, {""ingredient"": ""Champagne vinegar reduction"", ""amount"": ""1 tbsp""}","{""ingredient"": ""Yellow and Green Romanesco courgettes"", ""method"": ""thinly shaved and charcoal-grilled over binchotan for smokiness""}, {""ingredient"": ""Saffron-infused fermented honey"", ""method"": ""infused with saffron and aged 24 months for depth""}, {""ingredient"": ""Himalayan pink salt"", ""method"": ""cold-smoked""}, {""ingredient"": ""Champagne vinegar reduction"", ""method"": ""whisked together with Champagne vinegar""}, {""ingredient"": ""Black truffle pearls"", ""method"": ""finished with black truffle pearls and smoked salt""} ]","Using a binchotan grill, lightly char the thin courgette slices. Whisk together Mount Etna olive oil, saffron-aged honey, and Champagne vinegar reduction. Arrange courgette slices on a chilled plate, drizzle with dressing, and garnish with truffle pearls and smoked salt.","The delicate translucence of courgette carpaccio, kissed by the smoky depth of binchotan charcoal, evokes a whisper of summer embers. The silken gloss of black truffle pearls bursts with earthy intensity, while the fermented saffron honey, aged to perfection, lingers with a floral tang and caramelized depth. A final sprinkle of cold-smoked Himalayan salt awakens the senses, leaving a balance of smoke, umami, and golden sweetness on the tongue."
COU-002,Concoctions,Courgettes On Holiday,Odyssey,Courgette Blossom Tempura with Yuzu-Kosho Aioli and Ikura,"[{""ingredient"": ""Courgette blossoms"", ""amount"": ""6""}, {""ingredient"": ""Tempura flour"", ""amount"": ""100g""}, {""ingredient"": ""Sparkling water"", ""amount"": ""200ml""}, {""ingredient"": ""Yuzu-kosho paste"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Kewpie mayonnaise"", ""amount"": ""2 tbsp""}, {""ingredient"": ""Ikura (salmon roe)"", ""amount"": ""30g""}]","[{""ingredient"": ""Courgette blossoms"", ""method"": ""coated in a light tempura batter for crispness""}, {""ingredient"": ""Aioli"", ""method"": ""infused with yuzu-kosho for a citrus-spiced kick""}, {""ingredient"": ""Dish"", ""method"": ""finished with a garnish of Ikura for umami balance""}]",Whisk tempura flour with ice-cold sparkling water. Dip courgette blossoms and fry until crisp. Blend yuzu-kosho with Kewpie mayonnaise for aioli. Serve tempura with a side of aioli and a garnish of Ikura.,"A study in crispness and contrast, this dish crackles upon first bite—the tempura shell, impossibly light and golden, shatters to reveal the soft floral embrace of courgette blossoms. The yuzu-kosho aioli hums with a bright, citrus heat, cutting through the umami of Ikura, which pops like oceanic jewels, their briny burst amplifying the dish’s delicate interplay of creaminess and crunch."
COU-003,Concoctions,Courgettes On Holiday,Odyssey,Middle Eastern Spiced Courgette Fritters with Pistachio Labneh,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Chickpea flour"", ""amount"": ""100g""}, {""ingredient"": ""Ras el Hanout spice blend"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Crushed pistachios"", ""amount"": ""50g""}, {""ingredient"": ""Labneh"", ""amount"": ""100g""}, {""ingredient"": ""Lemon zest"", ""amount"": ""1 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""salted and drained to remove moisture""}, {""ingredient"": ""Batter"", ""method"": ""folded with chickpea flour and Ras el Hanout""}, {""ingredient"": ""Labneh"", ""method"": ""infused with pistachios and lemon zest""}]","Grate courgettes, salt, and drain excess moisture. Mix with chickpea flour and Ras el Hanout. Fry into golden fritters. Serve with pistachio-infused labneh and a sprinkle of lemon zest.","These golden fritters, crisp-edged and fragrant, recall the aromatic souks of Marrakech, where warm Ras el Hanout spices weave through the delicate sweetness of courgettes. The pistachio-infused labneh, rich and cooling, offers a creamy, tangy counterpoint, while flecks of lemon zest brighten each bite, creating an interplay of spice, herbaceous freshness, and nutty creaminess."
COU-004,Concoctions,Courgettes On Holiday,Odyssey,Parisian-Style Courgette Velouté with Aged Gruyère and Truffle Oil,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Heavy cream"", ""amount"": ""200ml""}, {""ingredient"": ""Aged Gruyère"", ""amount"": ""50g""}, {""ingredient"": ""White truffle oil"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Shallot"", ""amount"": ""1""}, {""ingredient"": ""Fleur de sel"", ""amount"": """"}]","[{""ingredient"": ""Courgettes"", ""method"": ""simmered with shallots and cream for velvety texture""}, {""ingredient"": ""Gruyère"", ""method"": ""melted into the soup for richness""}, {""ingredient"": ""Dish"", ""method"": ""finished with a drizzle of truffle oil""}]","Sauté shallots and diced courgette in butter until soft. Add heavy cream and simmer. Blend until smooth, then stir in Gruyère. Drizzle with truffle oil and serve.","A velvet-green pool of warmth, this velouté is the essence of Parisian refinement—luxuriously smooth, with a whisper of shallots and the nutty depth of aged Gruyère melting into each spoonful. A drizzle of white truffle oil adds an intoxicating perfume, an invitation to linger and savor, as if in a dimly lit bistro, where time slows and the flavors unfold with delicate elegance."
COU-005,Concoctions,Courgettes On Holiday,Odyssey,Thai Green Curry Courgette Noodles with Kaffir Lime and Galangal,"[{""ingredient"": ""Courgettes"", ""amount"": ""3""}, {""ingredient"": ""Thai green curry paste"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Coconut milk"", ""amount"": ""200ml""}, {""ingredient"": ""Kaffir lime leaf"", ""amount"": ""1""}, {""ingredient"": ""Galangal"", ""amount"": ""1 tsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""spiralized into noodles for lightness""}, {""ingredient"": ""Curry"", ""method"": ""simmered with coconut milk and galangal""}, {""ingredient"": ""Dish"", ""method"": ""finished with kaffir lime zest for citrus depth""}]",Simmer Thai green curry paste in coconut milk with galangal. Toss courgette noodles in sauce until warmed through. Finish with kaffir lime zest.,"A dish that dances on the palate, these spiralized courgettes swirl in a fragrant bath of Thai green curry, their crisp freshness infused with the fiery warmth of galangal and the citrus lift of kaffir lime. The coconut milk weaves its silky embrace, tempering the spice, while the final zest of lime awakens the senses like a sunlit jungle breeze."
COU-006,Concoctions,Courgettes On Holiday,Odyssey,Italian Grilled Courgettes with Aged Balsamic and Burrata,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Burrata"", ""amount"": ""100g""}, {""ingredient"": ""Balsamic vinegar"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Extra virgin olive oil"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Fresh thyme"", ""amount"": ""1 tsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""grilled over high heat for caramelization""}, {""ingredient"": ""Burrata"", ""method"": ""torn and served fresh""}, {""ingredient"": ""Dish"", ""method"": ""finished with balsamic vinegar and thyme""}]","Using a binchotan grill, lightly char the thin courgette slices. Whisk together Mount Etna olive oil, saffron-aged honey, and Champagne vinegar reduction. Arrange courgette slices on a chilled plate, drizzle with dressing, and garnish with truffle pearls and smoked salt.","A love letter to Tuscan simplicity, this dish captures the essence of fire, cream, and time-aged perfection. Courgettes, blistered and caramelized over open flames, release their natural sweetness, softened by the luscious pull of burrata. The 25-year-aged balsamic, thick and syrupy, drapes over each bite, its deep molasses-like tang echoing the history and patience that brought it to life."
COU-007,Concoctions,Courgettes On Holiday,Odyssey,Smoked Courgette Tartare with Avocado and Caviar,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Avocado"", ""amount"": ""1""}, {""ingredient"": ""Sturgeon caviar"", ""amount"": ""30g""}, {""ingredient"": ""Chive oil"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Lemon juice"", ""amount"": ""1 tsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""lightly smoked over hickory wood""}, {""ingredient"": ""Tartare"", ""method"": ""mixed with avocado and lemon juice""}, {""ingredient"": ""Dish"", ""method"": ""finished with caviar and chive oil drizzle""}]",Whisk tempura flour with ice-cold sparkling water. Dip courgette blossoms and fry until crisp. Blend yuzu-kosho with Kewpie mayonnaise for aioli. Serve tempura with a side of aioli and a garnish of Ikura.,"An interplay of luxury and earthiness, where the subtle smokiness of courgette meets the velvety decadence of avocado, creating a lush yet delicate foundation. The sturgeon caviar crowns the dish like black pearls, adding an umami depth that melts into the bright bite of chive oil and the gentle acidity of lemon juice—a dish that whispers indulgence rather than shouts it."
COU-008,Concoctions,Courgettes On Holiday,Odyssey,Mexican Courgette Tacos with Mole Verde and Pickled Shallots,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Mole verde sauce"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Corn tortillas"", ""amount"": ""2""}, {""ingredient"": ""Shallot"", ""amount"": ""1""}]","[{""ingredient"": ""Courgettes"", ""method"": ""pan-seared with mole verde""}, {""ingredient"": ""Shallots"", ""method"": ""quick-pickled for acidity""}, {""ingredient"": ""Tacos"", ""method"": ""assembled with fresh tortillas and garnished""}]","Grate courgettes, salt, and drain excess moisture. Mix with chickpea flour and Ras el Hanout. Fry into golden fritters. Serve with pistachio-infused labneh and a sprinkle of lemon zest.","A vibrant collision of smoke, spice, and acid, where pan-seared courgettes bathe in the complex embrace of mole verde, their charred exteriors absorbing the deep, layered flavors of tomatillos, pumpkin seeds, and green chilies. The quick-pickled shallots add a sharp, electric contrast, while the soft warmth of corn tortillas wraps the experience in nostalgia and tradition."
COU-009,Concoctions,Courgettes On Holiday,Odyssey,Japanese Miso-Glazed Courgettes with Sesame and Nori Dust,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""White miso"", ""amount"": ""2 tbsp""}, {""ingredient"": ""Mirin"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Toasted sesame seeds"", ""amount"": ""1 tsp""}, {""ingredient"": ""Nori powder"", ""amount"": ""1 tsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""brushed with miso-mirin glaze and broiled""}, {""ingredient"": ""Sesame"", ""method"": ""toasted for nutty aroma""}, {""ingredient"": ""Dish"", ""method"": ""finished with nori dust""}]","Sauté shallots and diced courgette in butter until soft. Add heavy cream and simmer. Blend until smooth, then stir in Gruyère. Drizzle with truffle oil and serve.","The luminous sheen of miso glaze caramelizes under the broiler, transforming courgettes into glistening umami treasures. The toasted sesame releases its nutty perfume, while the nori dust lingers like a whisper of ocean breeze. Each bite is a meditative journey, the depth of fermentation, the warmth of caramelized sugars, and the crisp char of fire blending in harmony."
COU-010,Concoctions,Courgettes On Holiday,Odyssey,Lebanese Courgette Kibbeh with Spiced Lamb and Pomegranate,"[{""ingredient"": ""Courgettes"", ""amount"": ""2""}, {""ingredient"": ""Ground lamb"", ""amount"": ""100g""}, {""ingredient"": ""Pine nuts"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Pomegranate molasses"", ""amount"": ""1 tbsp""}, {""ingredient"": ""Bulgur wheat"", ""amount"": ""1 tbsp""}]","[{""ingredient"": ""Courgettes"", ""method"": ""grated and mixed into kibbeh dough""}, {""ingredient"": ""Lamb"", ""method"": ""spiced and pan-seared""}, {""ingredient"": ""Dish"", ""method"": ""finished with pine nuts and pomegranate molasses""}]",Simmer Thai green curry paste in coconut milk with galangal. Toss courgette noodles in sauce until warmed through. Finish with kaffir lime zest.,"A feast of textures and traditions, this kibbeh tells the story of earthy grains, warming spices, and sweet acidity. The grated courgettes melt into the bulgur wheat, creating a light yet structured casing for the sumptuously spiced lamb filling. The toasted pine nuts offer a delicate crunch, while the pomegranate molasses drapes the dish in jewel-toned sweetness, each drop a burst of tart complexity that completes the dish’s harmonious balance of comfort and refinement."
